run, ts, ppac, f2pl, f3pl, hwtriga, hwtrigb, refp, reft
507, 23387746861, 2854446, 0, 4663, 5595, 28635, 0, 40682
507, 23387814647, 2854561, 0, 4663, 5596, 28638, 0, 40682
507, 23387888650, 2854670, 0, 4663, 5597, 28640, 0, 40682
507, 23387967017, 2854771, 0, 4664, 5598, 28643, 0, 40682
507, 23392617788, 2855039, 0, 4664, 5599, 28644, 0, 40682
507, 23392795211, 2855400, 0, 4665, 5600, 28646, 0, 40682
507, 23397609685, 2855946, 0, 4665, 5601, 28647, 0, 40682
507, 23397741687, 2856235, 0, 4665, 5602, 28649, 0, 40682
507, 23397835283, 2856414, 0, 4665, 5603, 28650, 0, 40682
507, 23397909768, 2856517, 0, 4665, 5604, 28651, 0, 40682
507, 23398001936, 2856663, 0, 4666, 5605, 28654, 0, 40682
507, 23402688771, 2857026, 0, 4666, 5606, 28656, 0, 40682
507, 23402748862, 2857164, 0, 4666, 5607, 28657, 0, 40682
507, 23402830840, 2857333, 0, 4666, 5608, 28659, 0, 40682
507, 23403037061, 2857659, 0, 4668, 5609, 28663, 0, 40682
