run,ts,ppac,ppac_rate,f2pl,f2pl_rate,f3pl,f3pl_rate,hwtriga,hwtriga_rate,hwtrigb,hwtrigb_rate,refp,refp_rate,reft,reft_rate,livetime
604,989.623971,16251496,16421.89,0,0,39231,39.64233,30069,30.384268,34547,34.9092191,1,0.00101048,990,1.00037997,0.870379483
605,338.264377,2570204,7598.21068,0,0,17747,52.4648802,11989,35.4426917,14531,42.9575238,1,0.00295627,339,1.0021747,0.825063657
606,519.625635,4023911,7743.86544,0,0,27520,52.9612054,18770,36.1221594,22530,43.358138,1,0.00192446,520,1.00072045,0.833111407
607,1156.2907,8782470,7595.38236,0,0,61247,52.9685138,41894,36.2313733,50252,43.4596594,1,0.00086483,1157,1.00061343,0.8336782616
610,423.003741,7442872,17595.2864,0,0,11944,28.2361569,10339,24.4418642,11374,26.8886511,1,0.00236405,423,0.99999115,0.9090029893
611,739.769442,13414246,18133.0091,0,0,17298,23.382961,15429,20.8564981,16511,22.319116,1,0.00135177,740,1.00031166,0.9344679305
612,760.539033,13552455,17819.539,0,0,21501,28.2707383,18578,24.4274116,20446,26.8835643,1,0.00131486,761,1.00060611,0.9086373863
615,281.597886,5412442,19220.4639,0,0,5911,20.9909246,5387,19.1301152,5661,20.1031338,1,0.00355116,282,1.00142797,0.9515986575
616,632.208615,12390423,19598.6304,0,0,13772,21.7839486,12434,19.6675586,13106,20.7304989,1,0.00158176,632,0.99967002,0.9487257745
617,1078.12571,21331198,19785.446,0,0,23881,22.1504781,21423,19.8705956,22741,21.0930875,1,0.00092754,1078,0.9998834,0.942043006
620,948.000453,25597780,27001.8647,0,0,27344,28.8438681,23742,25.0442918,26324,27.7679192,1,0.00105485,948,0.99999952,0.9019146026
621,655.278519,17634089,26910.8303,0,0,19017,29.0212474,16570,25.2869574,18319,27.9560515,1,0.00152607,655,0.99957496,0.9045253562
622,506.694853,13560232,26762.127,0,0,14310,28.2418499,12478,24.6262616,13769,27.1741461,1,0.00197357,507,1.00060223,0.906238652
623,416.659766,11169343,26806.8672,0,0,11778,28.2676681,10237,24.5692069,11342,27.2212508,1,0.00240004,417,1.00081657,0.9025745019
625,533.175899,14258947,26743.42,0,0,15064,28.2533401,13221,24.7966947,14534,27.2592966,1,0.00187555,533,0.99967009,0.9096601073
632,586.022737,4956884,8458.51823,0,0,18101,30.8878801,14209,24.2464995,15650,26.7054485,1,0.00170642,586,0.9999612,0.9079233227
636,376.758548,3100732,8230.02428,0,0,11445,30.3775456,9148,24.2808028,9979,26.4864594,1,0.00265422,377,1.00064087,0.9167251228
637,34.8244182,415954,11944.3201,0,0,965,27.7104414,771,22.1396376,845,24.2645834,1,0.02871548,35,1.00504192,0.9124260355
638,1171.52763,19185310,16376.3189,0,0,47020,40.1356305,35878,30.6249713,41399,35.3376216,1,0.00085359,1172,1.00040321,0.8666392908
639,473.674862,12136873,25622.7931,0,0,4599,9.70919162,4589,9.6880801,4335,9.15184729,1,0.00211115,474,1.00068642,1.058592849
